id,lap,lap_time,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name,place_of_birth,lat_birth,long_birth,team,bike
127,1,1'55.378,29.873,30.739,27.117,27.649,207.2,115.378,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
128,2,1'53.403,27.998,30.461,27.125,27.819,355.2,113.403,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
129,3,1'53.148,27.943,30.404,26.998,27.803,354,113.148,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
130,4,1'52.932,27.878,30.516,26.921,27.617,354,112.932,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
131,5,1'53.102,27.931,30.464,26.937,27.77,355.2,113.102,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
132,6,1'52.858,28.074,30.267,26.856,27.661,349.5,112.858,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
133,7,1'52.773,27.739,30.348,26.954,27.732,350.6,112.773,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
134,8,1'52.942,27.786,30.411,26.968,27.777,351.7,112.942,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
135,9,1'53.143,27.817,30.402,27.086,27.838,352.9,113.143,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
136,10,1'53.104,27.974,30.408,26.92,27.802,355.2,113.104,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
137,11,1'53.337,27.919,30.519,27.039,27.86,349.5,113.337,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
138,12,1'53.385,27.989,30.506,27.083,27.807,351.7,113.385,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
139,13,1'53.086,28.087,30.345,26.948,27.706,355.2,113.086,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
140,14,1'53.309,27.896,30.502,27.123,27.788,356.4,113.309,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
141,15,1'52.983,27.782,30.371,27.024,27.806,352.9,112.983,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
142,16,1'53.032,27.838,30.386,27.005,27.803,351.7,113.032,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
143,17,1'52.965,27.826,30.354,27.013,27.772,352.9,112.965,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
144,18,1'52.895,27.822,30.451,26.897,27.725,351.7,112.895,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
145,19,1'53.150,27.905,30.448,26.995,27.802,352.9,113.15,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
146,20,1'53.420,27.866,30.51,27.155,27.889,350.6,113.42,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
147,21,1'53.953,28.068,30.612,27.271,28.002,351.7,113.953,93,93,Marc,Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
202,1,1'56.311,30.321,31.067,27.074,27.849,210.5,116.311,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
203,2,1'52.811,27.835,30.094,27.091,27.791,345,112.811,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
204,3,1'53.096,27.949,30.366,26.922,27.859,346.1,113.096,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
205,4,1'52.983,27.854,30.426,26.978,27.725,348.3,112.983,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
206,5,1'53.228,27.871,30.471,27.154,27.732,349.5,113.228,73,73,"Alex
",Marquez,Cervera,41.67038,1.26801,Gresini,Ducati GP23
